author;year;title;journal;pages;place;taxa;region;number
Lioy, P.;1864;I ditteri distribuiti secondo un nuova metodo di classificazione naturale;Atti Istituto Veneto di Sciienze (3)9;87-1352;Venezia;;/Palae:/Italy/;5103
Livory, A.;2005;Les diptères Asilidae du departement de la Manche;*Argiope 50;26-47;?;;/Palae:/Europe/France/;11057
Lloyd, D.;2001;Dispersal abilities and population structure of the adult hornet robber fly Asilus crabroniformis at Caeau Bwlch SSSI;Countryside Council For Wales - Contract Science Report No. 458;?;Bangor;Asilus/;/Palae:/UK/;10616
Lodos, N.;1961;Türkiye, Irak, Iran ve Suriye`de Süne (Eurygaster integriceps Put.) Problemi Üzerinde Incelemeler (Yayilisi, Zararlari, Biyolojisi, Parazitleri ve Savasi);Ege Üniversitesi, Ziraat Fakültesi Yayin No. 51;115 pp.;Izmir;Heteroptera/;/Palae:/Turkey/;5110
Lodos, N.;1989;Türkiye Entomolojisi IV (Kisim I) (Genel, Uygulamali ve Faunistik);Ege Üniversitesi, Ziraat Fakültesi Yayin No. 493;250 pp.;Izmir;?/;/Palae:/Turkey/;5111
Loew, H.;1837;Dipterologische Notizen;Wiener Entomologische Monatsschrift 1(1);1-10;Wien;Diptera/Syrphidae/Chrysogaster/Orthonevra/Orinthomyia/Asilidae/Saropogon n.sp./;/Palae:/;5130
Loew, H.;1840;Über die im Großherzogtum Posen aufgefundenen Zweiflügler [Reprint: Bemerkungen über die in der Posener Gegend einheimischen Arten meherer Zweiflügler-Gattungen. Posen, 1840: 1-40];c;512-584;Jena;Syrphidae/;/Palae:/Germany/Poland/Posen/;5131
Loew, H.;1844;Beschreibung einiger neuer Gattungen der europäischen Dipterenfauna;Stettiner entomologische Zeitung 5;114-130, 154-173 (165-168);Szczecin (= Stettin);Anarolius n.gen./;/Palae:/;5132
Loew, H.;1844;Dioctria hercyniae, eine neue Art;Stettiner entomologische Zeitung 5;381-382;Szczecin (= Stettin);Dioctria hercyniae n.sp./;/Palae:/;5133
Loew, H.;1847;Über die europäischen Raubfliegen (Diptera, Asilica);Linnaea entomologica 2;384-568, 585-591;Szczecin (= Stettin) - Berlin;Isopogon+Laphystia+Lasiopogon+Oligopogon+Crobilocerus+Stichopogon+Cyrtopogon+Eriopogon+Habropogon+Heteropogon+Holopogon+Pycnopogon+Stenopogon+Saropogon n.gen./Heteropogon n.sp./;/Palae:/;5135
Loew, H.;1848;Ueber die europäischen Raubfliegen (Diptera, Asilica);Linnaea entomologica 3;386-495;Szczecin (= Stettin) - Berlin;Alcimus+Philodicus+Promachus+Eutolmus+Polyphonius+Eristicus n.gen./;/Palae:/;5137
Loew, H.;1849;Ueber die europäischen Raubfliegen (Diptera, Asilica);Linnaea entomologica 4;1-155;Szczecin (= Stettin) - Berlin;Antipalus+Antiphrisson+Cerdistus+Echthistus+Epitriptus+Machimus+Itamus+Mochtherus+Pamponerus+Philonicus+Rhadiurgus+Stilpnogaster+Tolmerus n.gen./Neoitamus/Neomochtherus/;/Palae:/;5138
Loew, H.;1850;Ueber den Bernstein und die Bernsteinfauna;Programm K. Realschule zu Meseritz 1850;1-4, 1-44;Berlin;Holopogon/Asilus/;/Palae:/;5139
Loew, H.;1851;Bemerkungen über die Familie Asiliden;Programm K. Realschule zu Meseritz 1851;1-22;Berlin;Lamyra+Triclis+Laparus+Dicranus+Lastaurus+Cyrtophrys+Dasythrix+Dasyllis+Lamprozona+Bathypogon+Thereutria n.gen./Heteropogon+Nusa n.sp./;/Neotr:/Palae:/Afrot:/Austr:/;5140
Loew, H.;1851;Nachträge zu den europäischen Asiliden;Linnaea entomologica 5;407-416;Szczecin (= Stettin) - Berlin;Dioctria/Choerades/;/Palae:/;5141
Loew, H.;1852;Diagnosen der Dipteren von Peter`s Reise in Mossambique;Bericht über die Verhandlungen der Königlichen Preussischen Akademie der Wissenschaften zu Berlin 1852;658-661;Berlin;;/Afrot:/Mozambique/;5142
Loew, H.;1853;Neue Beiträge zur Kenntnis der Dipteren. Erster Beitrag;Programm K. Realschule zu Meseritz 1853;1-37;Berlin;Dioctria n.sp./;/Palae:/;5143
Loew, H.;1854;Neue Beiträge zur Kenntnis der Dipteren. Zweiter Beitrag;Programm K. Realschule zu Meseritz 1854;1-24;Berlin;Heteropogon+Stichopogon+Promachus+Lophonotus+Eutolmus+Machimus+Mochtherus+Tolmerus n.sp./;/Palae:/;5144
Loew, H.;1855;Vier neue griechische Diptera;Stettiner entomologische Zeitung 16;39-41;Szczecin (= Stettin);Stenopogon n.sp./;/Palae:/Greece/;5145
Loew, H.;1856;Diptera. - In: Rosenhauer: Die Thiere Anadalusien nach dem Resultate einer Reise zusammengestellt;Erlangen: Blaesing;429 pp. (386, pls. 1-3);;Holopogon n.sp./;/Palae:/Spain/;5146
Loew, H.;1856;Neue Beiträge zur Kenntnis der Dipteren. Vierter Beitrag;Programm K. Realschule zu Meseritz 1856;1-57;Berlin;Rhadinus+Sisyrnodytes n.gen./Apoclea n.sp./;/Palae:/;5147
Loew, H.;1857;Dipterologische Mittheilungen;Wiener Entomologische Monatsschrift 1(2);33-56, pl. (36-37);Wien;Cyrtopogon n.sp./;/Palae:/Switzerland/;5148
Loew, H.;1857;Dipterologische Notizen;Wiener Entomologische Monatsschrift 1(1);1-10;Wien;Saropogon n.sp./;/Palae:/;5149
Loew, H.;1857;Dischistus multisetosus und Saropogon aberrans, zwei neue europäische Dipteren;Stettiner entomologische Zeitung 18;17-20;Szczecin (= Stettin);Sarapogon aberrans n.sp./;/Palae:/;5150
Loew, H.;1858;Bericht über die neueren Erscheinungen auf dem Gebiete der Dipterologie;Berliner entomologische Zeitschrift 2;325-349;Berlin;Syrphidae/;/Neotr:/;5151
Loew, H.;1858;Beschreibung einiger japanischer Dipteren;Wiener Entomologische Monatsschrift 2;100-112;Wien;Neoitamus n.sp./Syrphidae/;/Palae:/Asia/Japan/;5152
Loew, H.;1858;Bidrag till kannedomen om Afrikas Diptera [part];Ofversigt af Kongl. Vetenskaps-Akademiens Förhandlingar 14(1857);337-383 (342-367);Stockholm;Dyseris+Spanurus+Rhabdogaster+Scylaticus+Pegesimallus+Lagodias+Trichonotus+Laphyctis+Hypenetes n.gen./;/Afrot:/;5153
Loew, H.;1859;Bidrag till kannedomen om Afrikas Diptera;Ofversigt af Kongl. Vetenskaps-Akademiens Förhandlingar 15(1858);335-341 (337-339);Stockholm;Laparus+Daspletis+Scylaticus+Laphyctis+Acnephalum+Damalis+Lamyra+Alcimus+Lophonotus n.sp./;/Afrot:/;5154
Loew, H.;1860;Die Dipteren-Fauna Südafrikas. Erste Abtheilung;Abhandlungen des Naturwissenschaftlichen Vereins für Sachsen und Thüringen 2 (1858-1861);56-172 [128-244], pl. 2;Halle;Dysmachus+Eccoptopus+Protophanes+Anarmostus n.gen./;/Afrot:/South Africa/;5155
Loew, H.;1860;Drei von Herrn Dr.Friedr.Stein in Dalmatien entdeckte Dipteren;Wiener Entomologische Monatsschrift 4;20-24;Wien;Dioctria n.sp./;/Palae:/Dalmatia/Yugoslavia/;5156
Loew, H.;1861;Die europäischen Arten der Gattung Stenopogon;Wiener Entomologische Monatsschrift 5;8-13;Wien;Stenopogon n.sp./;/Palae:/;5157
Loew, H.;1861;Diptera aliquot in insula Cuba collecta;Wiener Entomologische Monatsschrift 5;33-43;Wien;Plesiomma n.sp./Syrphidae/;/Neotr:/Cuba/;5158
Loew, H.;1862;Diptera - Zweiflügler - In: Peters, Wilhelm C.H.: Reise nach Mossambique auf Befehl Sr Maj. des Königs Friedrich Wilhelm IV. in den Jahren 1842-1848 ausgeführt. 5. Insecten u. Amphibien;Berlin: G. Reimer;34 pp., pl.;;;/Afrot:/Mozambique/;5160
Loew, H.;1862;Diptera Americae septentrionalis indigena;Berliner entomologische Zeitschrift 6;185-232 (188-193);Berlin;Leptogaster n.sp./;/Nearc:/Neotr:/;5159
Loew, H.;1862;Monographs of the Diptera of North America. Prepared for the Smithsonian Institution. Part I.;Smithsonian miscellaneous collections 6(1);221 pp. (22-24);Washington;;/Nearc:/;11201
Loew, H.;1862;Ueber einige bei Varna gefangene Dipteren;Wiener Entomologische Monatsschrift 6;161-175;Wien;Erax n.sp./Syrphidae/;/Palae:/Italy/;5161
Loew, H.;1862;Ueber griechische Dipteren;Berliner entomologische Zeitschrift 6;69-89;Berlin;Laphria/;/Palae:/Europe/Greece/;10899
Loew, H.;1863;Enumeratio dipterorum quae C.Tollin ex Africa merdionali (Orangestaat, Bloemfontein) misit;Wiener Entomologische Monatsschrift 7;9-16;Wien;Laparus+Microstylum+Xiphocerus+Discocephala n.sp./;/Afrot:/;5162
Loew, H.;1865;Ueber einige bei Kutais in Imeretien gefangene Dipteren;Berliner entomologische Zeitschrift 9;234-242;Berlin;Laphria n.sp./Syrphidae/;/Palae:/Russia/Black Sea/;5163
Loew, H.;1866;Diptera Americae septentrionalis indigena;Berliner entomologische Zeitschrift 10;1-54 (15-37);Berlin;Dicolonus+Ablautus+Diogmites+Dizonias+Echthopoda+Pygostolus+Ospriocerus+Scleropogon+Sphageus n.gen./Prolepsis/;/Nearc:/Neotr:/;5164
